AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Gene	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	Study_type	collected_by	collection_date	geo_loc_name	host	host_disease	isolate	isolation_source	sample_type	strain	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
283	SAMN11831371	fastq sra	ncbi s3	s3.us-east-1	SRX5956783	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18INCOxxx0135PfB1230	2019-06-03	12	6	Plasmodium falciparum	2019-06-03	SRR9184360	SRS4867274	18INCOxxx0135PfB1230	Domestic imported malaria sample (DMS 2018)	Colorado	2018	India	"Homo Sapiens"	Malaria	18INCOxxx0135PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
307	SAMN11831370	fastq sra	ncbi s3	s3.us-east-1	SRX5956784	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18UGINxxx0134PfB1230	2019-06-03	10	5	Plasmodium falciparum	2019-06-03	SRR9184359	SRS4867273	18UGINxxx0134PfB1230	Domestic imported malaria sample (DMS 2018)	Indiana	2018	Uganda	"Homo Sapiens"	Malaria	18UGINxxx0134PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
302	SAMN11977993	fastq sra	ncbi s3	s3.us-east-1	SRX6031350	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	19SNxxxxxP046PFD1230	2019-06-11	10	5	Plasmodium falciparum	2019-06-11	SRR9260977	SRS4934919	19SNxxxxxP046PFD1230	Drug Resistance Survelillance and Research using Pooling method (Senegal 2019)	NA	2019	Senegal	"Homo Sapiens"	Malaria	19SNxxxxxP046PFD1230	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
266	SAMN11977968	fastq sra	ncbi s3	s3.us-east-1	SRX6031357	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	19SNxxxxxP021PFD1230	2019-06-11	4	2	Plasmodium falciparum	2019-06-11	SRR9260970	SRS4934927	19SNxxxxxP021PFD1230	Drug Resistance Survelillance and Research using Pooling method (Senegal 2019)	NA	2019	Senegal	"Homo Sapiens"	Malaria	19SNxxxxxP021PFD1230	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
320	SAMN11977974	fastq sra	ncbi s3	s3.us-east-1	SRX6031363	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	19SNxxxxxP027PFD1230	2019-06-11	5	2	Plasmodium falciparum	2019-06-11	SRR9260964	SRS4934933	19SNxxxxxP027PFD1230	Drug Resistance Survelillance and Research using Pooling method (Senegal 2019)	NA	2019	Senegal	"Homo Sapiens"	Malaria	19SNxxxxxP027PFD1230	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
278	SAMN11977931	fastq sra	ncbi s3	s3.us-east-1	SRX6031366	K13, CytB, DHPS, DHFR, CRT, MDR1	18BRRA00xP015PfD1190	2019-06-11	24	13	Plasmodium falciparum	2019-06-11	SRR9260961	SRS4934936	18BRRA00xP015PfD1190	Drug Resistance Survelillance and Research using Pooling method (Roraima, Brazil)	Roraima	2018	Brazil	"Homo Sapiens"	Malaria	18BRRA00x0015PfD1190	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
290	SAMN11977928	fastq sra	ncbi s3	s3.us-east-1	SRX6031369	K13, CytB, DHPS, DHFR, CRT, MDR1	18BRRA00xP012PfD1190	2019-06-11	23	13	Plasmodium falciparum	2019-06-11	SRR9260958	SRS4934939	18BRRA00xP012PfD1190	Drug Resistance Survelillance and Research using Pooling method (Roraima, Brazil)	Roraima	2018	Brazil	"Homo Sapiens"	Malaria	18BRRA00x0012PfD1190	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
252	SAMN11977951	fastq sra	ncbi s3	s3.us-east-1	SRX6031381	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	19SNxxxxxP004PFD1230	2019-06-11	3	1	Plasmodium falciparum	2019-06-11	SRR9260946	SRS4934951	19SNxxxxxP004PFD1230	Drug Resistance Survelillance and Research using Pooling method (Senegal 2019)	NA	2019	Senegal	"Homo Sapiens"	Malaria	19SNxxxxxP004PFD1230	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
310	SAMN11977980	fastq sra	ncbi s3	s3.us-east-1	SRX6031388	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	19SNxxxxxP033PFD1230	2019-06-11	7	3	Plasmodium falciparum	2019-06-11	SRR9260939	SRS4934958	19SNxxxxxP033PFD1230	Drug Resistance Survelillance and Research using Pooling method (Senegal 2019)	NA	2019	Senegal	"Homo Sapiens"	Malaria	19SNxxxxxP033PFD1230	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
281	SAMN11977969	fastq sra	ncbi s3	s3.us-east-1	SRX6031422	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	19SNxxxxxP022PFD1230	2019-06-11	5	3	Plasmodium falciparum	2019-06-11	SRR9260905	SRS4934993	19SNxxxxxP022PFD1230	Drug Resistance Survelillance and Research using Pooling method (Senegal 2019)	NA	2019	Senegal	"Homo Sapiens"	Malaria	19SNxxxxxP022PFD1230	blood	DNA	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
